id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,xG,xGA,xGD,xGD/90
0,W,Barcelona 2010-2011,13.0,8.0,4.0,1.0,30.0,9.0,21.0,28.0,85.535,,,,
1,F,Manchester Utd 2010-2011,13.0,6.0,6.0,1.0,19.0,7.0,12.0,24.0,80.325,,,,
2,SF,Real Madrid 2010-2011,12.0,7.0,4.0,1.0,25.0,6.0,19.0,25.0,71.583,,,,
3,SF,Schalke 04 2010-2011,12.0,5.0,4.0,3.0,22.0,14.0,8.0,19.0,52.378,,,,
4,QF,Shakhtar 2010-2011,10.0,6.0,2.0,2.0,19.0,14.0,5.0,20.0,49.083,,,,
5,QF,Chelsea 2010-2011,10.0,6.0,1.0,3.0,17.0,7.0,10.0,19.0,39.157,,,,
6,QF,Tottenham 2010-2011,12.0,4.0,5.0,3.0,25.0,19.0,6.0,17.0,34.9859999999999,,,,
7,QF,Inter 2010-2011,10.0,4.0,1.0,5.0,18.0,21.0,-3.0,13.0,60.71999999999989,,,,
8,R16,Bayern Munich 2010-2011,8.0,6.0,1.0,1.0,19.0,9.0,10.0,19.0,65.75,,,,
9,R16,Arsenal 2010-2011,8.0,5.0,0.0,3.0,21.0,11.0,10.0,15.0,59.633,,,,
10,R16,FC Copenhagen 2010-2011,12.0,3.0,5.0,4.0,12.0,11.0,1.0,14.0,35.10199999999989,,,,
11,R16,Marseille 2010-2011,8.0,4.0,1.0,3.0,13.0,5.0,8.0,13.0,52.922,,,,
12,R16,Valencia 2010-2011,8.0,3.0,3.0,2.0,17.0,8.0,9.0,12.0,32.4119999999999,,,,
13,R16,Lyon 2010-2011,8.0,3.0,2.0,3.0,12.0,14.0,-2.0,11.0,36.881,,,,
14,R16,Roma 2010-2011,8.0,3.0,1.0,4.0,12.0,17.0,-5.0,10.0,34.665999999999904,,,,
15,R16,Milan 2010-2011,8.0,2.0,3.0,3.0,7.0,8.0,-1.0,9.0,60.11,,,,
16,GR,Braga 2010-2011,10.0,6.0,0.0,4.0,14.0,16.0,-2.0,18.0,13.753999999999902,,,,
17,GR,Hapoel Tel Aviv 2010-2011,12.0,4.0,4.0,4.0,20.0,15.0,5.0,16.0,12.711,,,,
18,GR,Basel 2010-2011,10.0,5.0,1.0,4.0,17.0,12.0,5.0,16.0,36.746,,,,
19,GR,Partizan 2010-2011,12.0,4.0,2.0,6.0,15.0,19.0,-4.0,14.0,24.595,,,,
20,GR,Ajax 2010-2011,10.0,2.0,5.0,3.0,13.0,16.0,-3.0,11.0,47.581,,,,
21,GR,Spartak Moscow 2010-2011,6.0,3.0,0.0,3.0,7.0,10.0,-3.0,9.0,51.739,,,,
22,GR,Werder Bremen 2010-2011,8.0,2.0,2.0,4.0,11.0,16.0,-5.0,8.0,30.315,,,,
23,GR,MŠK Žilina 2010-2011,12.0,1.0,4.0,7.0,13.0,22.0,-9.0,7.0,9.594,,,,
24,GR,Twente 2010-2011,6.0,1.0,3.0,2.0,9.0,11.0,-2.0,6.0,23.933,,,,
25,GR,Rubin Kazan 2010-2011,6.0,1.0,3.0,2.0,2.0,4.0,-2.0,6.0,19.556999999999903,,,,
26,GR,Rangers 2010-2011,6.0,1.0,3.0,2.0,3.0,6.0,-3.0,6.0,45.686,,,,
27,GR,Benfica 2010-2011,6.0,2.0,0.0,4.0,7.0,12.0,-5.0,6.0,28.62,,,,
28,GR,CFR Cluj 2010-2011,6.0,1.0,1.0,4.0,6.0,12.0,-6.0,4.0,10.6,,,,
29,GR,Auxerre 2010-2011,8.0,1.0,1.0,6.0,5.0,13.0,-8.0,4.0,19.989999999999903,,,,
30,GR,Panathinaikos 2010-2011,6.0,0.0,2.0,4.0,2.0,13.0,-11.0,2.0,49.4519999999999,,,,
31,GR,Bursaspor 2010-2011,6.0,0.0,1.0,5.0,2.0,16.0,-14.0,1.0,17.907999999999994,,,,
32,W,Chelsea 2011-2012,13.0,5.0,6.0,2.0,25.0,12.0,13.0,21.0,40.902000000000015,,,,
33,F,Bayern Munich 2011-2012,15.0,8.0,4.0,3.0,29.0,11.0,18.0,28.0,71.5,,,,
34,SF,Real Madrid 2011-2012,12.0,7.0,4.0,1.0,35.0,9.0,26.0,25.0,67.64399999999999,,,,
35,SF,Barcelona 2011-2012,12.0,6.0,5.0,1.0,35.0,10.0,25.0,23.0,77.95299999999999,,,,
36,QF,Benfica 2011-2012,14.0,4.0,7.0,3.0,21.0,14.0,7.0,19.0,49.43099999999991,,,,
37,QF,APOEL FC 2011-2012,16.0,4.0,7.0,5.0,20.0,17.0,3.0,19.0,22.262,,,,
38,QF,Milan 2011-2012,10.0,3.0,4.0,3.0,16.0,14.0,2.0,13.0,70.491,,,,
39,QF,Marseille 2011-2012,10.0,4.0,1.0,5.0,9.0,10.0,-1.0,13.0,30.824,,,,
40,R16,Arsenal 2011-2012,10.0,5.0,3.0,2.0,13.0,11.0,2.0,18.0,59.785,,,,
41,R16,Lyon 2011-2012,10.0,4.0,3.0,3.0,14.0,10.0,4.0,15.0,35.403,,,,
42,R16,Napoli 2011-2012,8.0,4.0,2.0,2.0,14.0,11.0,3.0,14.0,54.223,,,,
43,R16,Basel 2011-2012,8.0,4.0,2.0,2.0,12.0,17.0,-5.0,14.0,34.489000000000004,,,,
44,R16,Zenit 2011-2012,8.0,3.0,3.0,2.0,10.0,9.0,1.0,12.0,20.628,,,,
45,R16,Inter 2011-2012,8.0,3.0,2.0,3.0,10.0,9.0,1.0,11.0,33.668,,,,
46,R16,Leverkusen 2011-2012,8.0,3.0,1.0,4.0,10.0,18.0,-8.0,10.0,27.555,,,,
47,R16,CSKA Moscow 2011-2012,8.0,2.0,3.0,3.0,11.0,13.0,-2.0,9.0,35.525000000000006,,,,
48,GR,Viktoria Plzeň 2011-2012,12.0,4.0,5.0,3.0,22.0,16.0,6.0,17.0,19.847,,,,
49,GR,Dinamo Zagreb 2011-2012,12.0,3.0,2.0,7.0,13.0,26.0,-13.0,11.0,23.075000000000003,,,,
50,GR,Manchester City 2011-2012,6.0,3.0,1.0,2.0,9.0,6.0,3.0,10.0,44.451,,,,
51,GR,BATE Borisov 2011-2012,12.0,1.0,7.0,4.0,11.0,17.0,-6.0,10.0,28.392,,,,
52,GR,Manchester Utd 2011-2012,6.0,2.0,3.0,1.0,11.0,8.0,3.0,9.0,74.27799999999999,,,,
53,GR,Olympiacos 2011-2012,6.0,3.0,0.0,3.0,8.0,6.0,2.0,9.0,30.165000000000003,,,,
54,GR,Valencia 2011-2012,6.0,2.0,2.0,2.0,12.0,7.0,5.0,8.0,35.308,,,,
55,GR,Porto 2011-2012,6.0,2.0,2.0,2.0,7.0,7.0,0.0,8.0,38.545,,,,
56,GR,Ajax 2011-2012,6.0,2.0,2.0,2.0,6.0,6.0,0.0,8.0,50.25600000000001,,,,
57,GR,Trabzonspor 2011-2012,8.0,1.0,5.0,2.0,4.0,8.0,-4.0,8.0,18.653,,,,
58,GR,Genk 2011-2012,10.0,1.0,5.0,4.0,8.0,21.0,-13.0,8.0,21.34,,,,
59,GR,Lille 2011-2012,6.0,1.0,3.0,2.0,6.0,6.0,0.0,6.0,16.215,,,,
60,GR,Shakhtar 2011-2012,6.0,1.0,2.0,3.0,6.0,8.0,-2.0,5.0,46.719,,,,
61,GR,Dortmund 2011-2012,6.0,1.0,1.0,4.0,6.0,12.0,-6.0,4.0,65.59000000000002,,,,
62,GR,Villarreal 2011-2012,8.0,0.0,1.0,7.0,5.0,15.0,-10.0,1.0,17.959,,,,
63,GR,Oțelul Galați 2011-2012,6.0,0.0,0.0,6.0,3.0,11.0,-8.0,0.0,13.533,,,,
64,W,Bayern Munich 2012-2013,13.0,10.0,2.0,1.0,31.0,11.0,20.0,32.0,73.667,,,,
65,F,Dortmund 2012-2013,13.0,5.0,6.0,2.0,24.0,14.0,10.0,21.0,71.23899999999999,,,,
66,SF,Real Madrid 2012-2013,12.0,5.0,4.0,3.0,26.0,18.0,8.0,19.0,71.313,,,,
67,SF,Barcelona 2012-2013,12.0,4.0,5.0,3.0,18.0,17.0,1.0,17.0,81.477,,,,
68,QF,Paris S-G 2012-2013,10.0,6.0,3.0,1.0,20.0,8.0,12.0,21.0,43.868,,,,
69,QF,Málaga 2012-2013,12.0,4.0,6.0,2.0,18.0,9.0,9.0,18.0,25.824,,,,
70,QF,Juventus 2012-2013,10.0,4.0,5.0,1.0,17.0,8.0,9.0,17.0,36.0469999999999,,,,
71,QF,Galatasaray 2012-2013,10.0,4.0,3.0,3.0,14.0,14.0,0.0,15.0,47.397,,,,
72,R16,Celtic 2012-2013,12.0,6.0,2.0,4.0,17.0,14.0,3.0,20.0,58.211000000000006,,,,
73,R16,Porto 2012-2013,8.0,5.0,1.0,2.0,11.0,6.0,5.0,16.0,33.909,,,,
74,R16,Valencia 2012-2013,8.0,4.0,2.0,2.0,14.0,8.0,6.0,14.0,30.678999999999903,,,,
75,R16,Schalke 04 2012-2013,8.0,3.0,5.0,0.0,13.0,10.0,3.0,14.0,52.635000000000005,,,,
76,R16,Manchester Utd 2012-2013,8.0,4.0,2.0,2.0,11.0,9.0,2.0,14.0,73.582,,,,
77,R16,Arsenal 2012-2013,8.0,4.0,1.0,3.0,13.0,11.0,2.0,13.0,59.95400000000001,,,,
78,R16,Shakhtar 2012-2013,8.0,3.0,2.0,3.0,14.0,13.0,1.0,11.0,49.101000000000006,,,,
79,R16,Milan 2012-2013,8.0,3.0,2.0,3.0,9.0,10.0,-1.0,11.0,40.98100000000001,,,,
80,GR,CFR Cluj 2012-2013,10.0,6.0,2.0,2.0,15.0,9.0,6.0,20.0,15.708,,,,
81,GR,BATE Borisov 2012-2013,12.0,5.0,3.0,4.0,18.0,19.0,-1.0,18.0,25.542,,,,
82,GR,Dynamo Kyiv 2012-2013,10.0,4.0,3.0,3.0,13.0,14.0,-1.0,15.0,39.63400000000001,,,,
83,GR,Dinamo Zagreb 2012-2013,12.0,3.0,4.0,5.0,13.0,18.0,-5.0,13.0,5.889999999999899,,,,
84,GR,Anderlecht 2012-2013,10.0,3.0,3.0,4.0,18.0,11.0,7.0,12.0,17.316999999999997,,,,
85,GR,Chelsea 2012-2013,6.0,3.0,1.0,2.0,16.0,10.0,6.0,10.0,40.689,,,,
86,GR,Olympiacos 2012-2013,6.0,3.0,0.0,3.0,9.0,9.0,0.0,9.0,29.089,,,,
87,GR,Benfica 2012-2013,6.0,2.0,2.0,2.0,5.0,5.0,0.0,8.0,49.12,,,,
88,GR,Zenit 2012-2013,6.0,2.0,1.0,3.0,6.0,9.0,-3.0,7.0,19.361,,,,
89,GR,Spartak Moscow 2012-2013,8.0,2.0,1.0,5.0,10.0,16.0,-6.0,7.0,50.63700000000001,,,,
90,GR,Braga 2012-2013,8.0,1.0,2.0,5.0,9.0,15.0,-6.0,5.0,11.758,,,,
91,GR,Ajax 2012-2013,6.0,1.0,1.0,4.0,8.0,16.0,-8.0,4.0,47.578,,,,
92,GR,Lille 2012-2013,8.0,1.0,1.0,6.0,6.0,14.0,-8.0,4.0,41.139,,,,
93,GR,Manchester City 2012-2013,6.0,0.0,3.0,3.0,7.0,11.0,-4.0,3.0,43.206,,,,
94,GR,Montpellier 2012-2013,6.0,0.0,2.0,4.0,6.0,12.0,-6.0,2.0,24.499,,,,
95,GR,Nordsjælland 2012-2013,6.0,0.0,1.0,5.0,4.0,22.0,-18.0,1.0,21.526,,,,
96,W,Real Madrid 2013-2014,13.0,10.0,2.0,1.0,41.0,10.0,31.0,32.0,78.426,,,,
97,F,Atlético Madrid 2013-2014,13.0,7.0,5.0,1.0,26.0,10.0,16.0,26.0,43.994,,,,
98,SF,Bayern Munich 2013-2014,12.0,6.0,4.0,2.0,24.0,13.0,11.0,22.0,67.883,,,,
99,SF,Chelsea 2013-2014,12.0,4.0,5.0,3.0,19.0,10.0,9.0,17.0,39.531,,,,
100,QF,Paris S-G 2013-2014,10.0,6.0,2.0,2.0,25.0,9.0,16.0,20.0,44.68,,,,
101,QF,Barcelona 2013-2014,10.0,5.0,3.0,2.0,21.0,8.0,13.0,18.0,76.033,,,,
102,QF,Manchester Utd 2013-2014,10.0,5.0,3.0,2.0,17.0,9.0,8.0,18.0,74.594,,,,
103,QF,Dortmund 2013-2014,10.0,5.0,2.0,3.0,18.0,13.0,5.0,17.0,65.82900000000001,,,,
104,R16,Zenit 2013-2014,12.0,4.0,5.0,3.0,23.0,17.0,6.0,17.0,17.542,,,,
105,R16,Arsenal 2013-2014,10.0,5.0,2.0,3.0,14.0,8.0,6.0,17.0,59.864,,,,
106,R16,Manchester City 2013-2014,8.0,5.0,0.0,3.0,19.0,14.0,5.0,15.0,43.372,,,,
107,R16,Schalke 04 2013-2014,10.0,4.0,2.0,4.0,12.0,18.0,-6.0,14.0,53.973000000000006,,,,
108,R16,Olympiacos 2013-2014,8.0,4.0,1.0,3.0,12.0,11.0,1.0,13.0,30.632,,,,
109,R16,Milan 2013-2014,10.0,2.0,5.0,3.0,13.0,11.0,2.0,11.0,64.18600000000004,,,,
110,R16,Leverkusen 2013-2014,8.0,3.0,1.0,4.0,10.0,16.0,-6.0,10.0,27.867,,,,
111,R16,Galatasaray 2013-2014,8.0,2.0,2.0,4.0,9.0,17.0,-8.0,8.0,44.71,,,,
112,GR,Viktoria Plzeň 2013-2014,12.0,6.0,1.0,5.0,26.0,24.0,2.0,19.0,10.88,,,,
113,GR,Basel 2013-2014,10.0,4.0,4.0,2.0,15.0,11.0,4.0,16.0,33.054,,,,
114,GR,Steaua 2013-2014,12.0,3.0,6.0,3.0,13.0,15.0,-2.0,15.0,37.081,,,,
115,GR,Austria Wien 2013-2014,10.0,3.0,4.0,3.0,10.0,13.0,-3.0,13.0,40.22500000000001,,,,
116,GR,Napoli 2013-2014,6.0,4.0,0.0,2.0,10.0,9.0,1.0,12.0,42.98,,,,
117,GR,Celtic 2013-2014,12.0,3.0,3.0,6.0,12.0,16.0,-4.0,12.0,58.488,,,,
118,GR,Benfica 2013-2014,6.0,3.0,1.0,2.0,8.0,8.0,0.0,10.0,30.847,,,,
119,GR,Shakhtar 2013-2014,6.0,2.0,2.0,2.0,7.0,6.0,1.0,8.0,48.672,,,,
120,GR,Ajax 2013-2014,6.0,2.0,2.0,2.0,5.0,8.0,-3.0,8.0,54.866,,,,
121,GR,Juventus 2013-2014,6.0,1.0,3.0,2.0,9.0,9.0,0.0,6.0,36.469,,,,
122,GR,Porto 2013-2014,6.0,1.0,2.0,3.0,4.0,7.0,-3.0,5.0,29.969,,,,
123,GR,Real Sociedad 2013-2014,8.0,1.0,2.0,5.0,5.0,10.0,-5.0,5.0,28.3,,,,
124,GR,FC Copenhagen 2013-2014,6.0,1.0,1.0,4.0,4.0,13.0,-9.0,4.0,36.656,,,,
125,GR,CSKA Moscow 2013-2014,6.0,1.0,0.0,5.0,8.0,17.0,-9.0,3.0,11.333,,,,
