id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
0,W,Chelsea,13,5,6,2,25,12,+13,21,"40,902",Didier Drogba-,Petr Čech,→ Champions League via playoff win
1,,,,,,,,,,,,,,
2,F,Bayern Munich,15,8,4,3,29,11,+18,28,"71,500",Mario Gómez-,Manuel Neuer,
3,,,,,,,,,,,,,,
4,SF,Real Madrid,12,7,4,1,35,9,+26,25,"67,644",Cristiano Ronaldo-,Iker Casillas,
5,SF,Barcelona,12,6,5,1,35,10,+25,23,"77,953",Lionel Messi-,Víctor Valdés,
6,,,,,,,,,,,,,,
7,QF,Benfica,14,4,7,3,21,14,+7,19,"49,431",Óscar Cardozo-,Artur Moraes,
8,QF,APOEL FC,16,4,7,5,20,17,+3,19,"22,262",Gustavo Manduca-,Dionisis Chiotis,
9,QF,Milan,10,3,4,3,16,14,+2,13,"70,491",Zlatan Ibrahimović-,Christian Abbiati,
10,QF,Marseille,10,4,1,5,9,10,-1,13,"30,824",André Ayew-,Steve Mandanda,
11,,,,,,,,,,,,,,
12,R16,Arsenal,10,5,3,2,13,11,+2,18,"59,785",Robin van Persie-,Wojciech Szczęsny,
13,R16,Lyon,10,4,3,3,14,10,+4,15,"35,403",Bafétimbi Gomis-,Hugo Lloris,
14,R16,Napoli,8,4,2,2,14,11,+3,14,"54,223",Edinson Cavani-,Morgan De Sanctis,
15,R16,Basel,8,4,2,2,12,17,-5,14,"34,489",Alexander Frei-,Yann Sommer,
16,R16,Zenit,8,3,3,2,10,9,+1,12,"20,628",Roman Shirokov-,Vyacheslav Malafeev,
17,R16,Inter,8,3,2,3,10,9,+1,11,"33,668",Giampaolo Pazzini-,Júlio César,
18,R16,Leverkusen,8,3,1,4,10,18,-8,10,"27,555",Eren Derdiyok-,Bernd Leno,
19,R16,CSKA Moscow,8,2,3,3,11,13,-2,9,"35,525",Seydou Doumbia-,Vladimir Gabulov,
20,,,,,,,,,,,,,,
21,GR,Viktoria Plzeň,12,4,5,3,22,16,+6,17,"19,847",Marek Bakoš-,Marek Čech,
22,GR,Dinamo Zagreb,12,3,2,7,13,26,-13,11,"23,075","Fatos Bećiraj,Mateo Kovačić... -",Ivan Kelava,
23,GR,Manchester City,6,3,1,2,9,6,+3,10,"44,451",Yaya Touré-,Joe Hart,
24,GR,BATE Borisov,12,1,7,4,11,17,-6,10,"28,392",Renan Bardini Bressan-,Alyaksandr Hutar,
25,GR,Manchester Utd,6,2,3,1,11,8,+3,9,"74,278","Wayne Rooney,Danny Welbeck-",David de Gea,
26,GR,Olympiacos,6,3,0,3,8,6,+2,9,"30,165","David Fuster,François Modesto... -","Franco Costanzo,Balázs Megyeri",
27,GR,Valencia,6,2,2,2,12,7,+5,8,"35,308",Roberto Soldado-,Diego Alves,
28,GR,Porto,6,2,2,2,7,7,0,8,"38,545",Hulk-,Helton Arruda,
29,GR,Ajax,6,2,2,2,6,6,0,8,"50,256","Christian Eriksen,Derk Boerrigter... -",Kenneth Vermeer,
30,GR,Trabzonspor,8,1,5,2,4,8,-4,8,"18,653","Halil Altıntop,Ondřej Čelůstka... -",Tolga Zengin,
31,GR,Genk,10,1,5,4,8,21,-13,8,"21,340",Jelle Vossen-,László Köteles,
32,GR,Lille,6,1,3,2,6,6,0,6,"16,215",Moussa Sow-,Mickaël Landreau,
33,GR,Shakhtar,6,1,2,3,6,8,-2,5,"46,719",Luiz Adriano-,Oleksandr Rybka,
34,GR,Dortmund,6,1,1,4,6,12,-6,4,"65,590","Jakub Błaszczykowski,Shinji Kagawa... -",Roman Weidenfeller,
35,GR,Villarreal,8,0,1,7,5,15,-10,1,"17,959","Cani,Jonathan de Guzmán-",Diego López,
36,GR,Oțelul Galați,6,0,0,6,3,11,-8,0,"13,533","Liviu Antal,Gabriel Giurgiu... -",Branko Grahovac,
