id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
0,1,Manchester City,13,8,5,0,32,5,+27,29,26.5,10.5,+16.0,+1.23,"63,639",Erling Haaland-,Ederson,
1,,,,,,,,,,,,,,,,,,
2,2,Inter,13,7,3,3,19,11,+8,24,17.9,15.1,+2.8,+0.22,"71,415",Edin Džeko-,André Onana,
3,,,,,,,,,,,,,,,,,,
4,SF,Real Madrid,12,8,2,2,26,13,+13,26,22.3,15.9,+6.4,+0.53,"58,761",Vinicius Júnior-,Thibaut Courtois,
5,SF,Milan,12,5,3,4,15,11,+4,18,16.5,14.6,+1.9,+0.16,"72,546",Olivier Giroud-,Mike Maignan,
6,,,,,,,,,,,,,,,,,,
7,QF,Bayern Munich,10,8,1,1,22,6,+16,25,19.4,10.9,+8.4,+0.84,"75,000","Leroy Sané,Eric Maxim Choupo-Moting-",Yann Sommer,
8,QF,Napoli,10,7,1,2,26,8,+18,22,25.2,13.0,+12.2,+1.22,"49,133",Victor Osimhen-,Alex Meret,
9,QF,Benfica,10,6,3,1,26,13,+13,21,19.0,10.9,+8.1,+0.81,"60,222",João Mário-,Odisseas Vlachodimos,
10,QF,Chelsea,10,5,1,4,12,9,+3,16,16.2,10.7,+5.5,+0.55,"39,216",Raheem Sterling-,Kepa Arrizabalaga,
11,,,,,,,,,,,,,,,,,,
12,R16,Liverpool,8,5,0,3,19,12,+7,15,14.7,10.6,+4.1,+0.51,"51,578",Mohamed Salah-,Alisson,
13,R16,Paris S-G,8,4,2,2,16,10,+6,14,10.8,10.0,+0.8,+0.10,"46,680",Kylian Mbappé-,Gianluigi Donnarumma,
14,R16,Porto,8,4,1,3,12,8,+4,13,15.2,11.4,+3.9,+0.48,"44,296",Mehdi Taremi-,Diogo Costa,
15,R16,RB Leipzig,8,4,1,3,14,17,-3,13,11.7,12.4,-0.8,-0.10,"44,319","André Silva,Christopher Nkunku-",Janis Blaswich,
16,R16,Dortmund,8,3,3,2,11,7,+4,12,10.5,11.4,-0.9,-0.12,"78,516",Jude Bellingham-,Alexander Meyer,
17,R16,Tottenham,8,3,3,2,8,7,+1,12,10.0,8.8,+1.2,+0.15,"58,434","Son Heung-min,Richarlison-",Hugo Lloris,
18,R16,Club Brugge,8,3,2,3,8,11,-3,11,8.0,16.9,-8.9,-1.12,"24,296","Kamal Sowah,Jutglà-",Simon Mignolet,
19,R16,Eint Frankfurt,8,3,1,4,7,13,-6,10,8.0,12.9,-4.9,-0.61,"49,300",Daichi Kamada-,Kevin Trapp,
20,,,,,,,,,,,,,,,,,,
21,GR,Barcelona,6,2,1,3,12,12,0,7,9.9,9.3,+0.6,+0.10,"84,576",Robert Lewandowski-,Marc-André ter Stegen,
22,GR,Sporting CP,6,2,1,3,8,9,-1,7,3.8,9.8,-6.0,-1.01,"39,923","Marcus Edwards,Arthur... -",Antonio Adán,
23,GR,Marseille,6,2,0,4,8,8,0,6,8.6,5.1,+3.5,+0.59,"37,962","Alexis Sánchez,Chancel Mbemba... -",Pau López,
24,GR,Shakhtar,6,1,3,2,8,10,-2,6,3.7,10.9,-7.1,-1.19,"25,257",Mykhailo Mudryk-,Anatolii Trubin,
25,GR,RB Salzburg,6,1,3,2,5,9,-4,6,8.3,6.9,+1.4,+0.23,"29,301",Noah Okafor-,Philipp Köhn,
26,GR,Ajax,6,2,0,4,11,16,-5,6,8.3,12.2,-3.9,-0.65,"53,028",Kudus Mohammed-,Remko Pasveer,
27,GR,Atlético Madrid,6,1,2,3,5,9,-4,5,9.5,9.8,-0.3,-0.05,"58,797","Antoine Griezmann,Yannick Carrasco... -",Jan Oblak,
28,GR,Leverkusen,6,1,2,3,4,8,-4,5,9.0,7.5,+1.5,+0.26,"28,748",Moussa Diaby-,Lukáš Hrádecký,
29,GR,Sevilla,6,1,2,3,6,12,-6,5,5.4,10.2,-4.8,-0.80,"34,415",Youssef En-Nesyri-,Yassine Bounou,
30,GR,Dinamo Zagreb,6,1,1,4,4,11,-7,4,4.2,12.5,-8.3,-1.39,"20,653",Mislav Oršić-,Dominik Livaković,
31,GR,Juventus,6,1,0,5,9,13,-4,3,8.6,10.6,-2.0,-0.33,"34,534","Adrien Rabiot,Arkadiusz Milik... -",Wojciech Szczęsny,
32,GR,FC Copenhagen,6,0,3,3,1,12,-11,3,4.8,11.2,-6.4,-1.06,"34,086",Hákon Arnar Haraldsson-,Kamil Grabara,
33,GR,Maccabi Haifa,6,1,0,5,7,21,-14,3,6.4,9.6,-3.3,-0.55,"30,317","Tjaronn Chery,Omer Atzili... -",Josh Cohen,
34,GR,Celtic,6,0,2,4,4,15,-11,2,9.2,10.9,-1.7,-0.29,"57,367",Jota-,Joe Hart,
35,GR,Viktoria Plzeň,6,0,0,6,5,24,-19,0,5.5,15.1,-9.5,-1.59,"11,279",Tomáš Chorý-,Jindřich Staněk,
36,GR,Rangers,6,0,0,6,2,22,-20,0,4.9,14.3,-9.4,-1.57,"49,253","Scott Arfield,James Tavernier-",Allan McGregor,
