id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
0,R16,Manchester City 2023-2024,7.0,7.0,0.0,0.0,21.0,8.0,13.0,21.0,20.3,3.6,16.8,2.39,50.885,Erling Haaland-,Ederson
1,R16,Real Madrid 2023-2024,7.0,7.0,0.0,0.0,17.0,7.0,10.0,21.0,16.4,9.0,7.5,1.07,69.093,Jude Bellingham-,Kepa Arrizabalaga
2,R16,Bayern Munich 2023-2024,7.0,5.0,1.0,1.0,12.0,7.0,5.0,16.0,10.3,8.4,1.9,0.27,75.0,Harry Kane-,Manuel Neuer
3,R16,Porto 2023-2024,7.0,5.0,0.0,2.0,16.0,8.0,8.0,15.0,10.9,6.8,4.0,0.58,47.944,Galeno-,Diogo Costa
4,R16,Inter 2023-2024,7.0,4.0,3.0,0.0,9.0,5.0,4.0,15.0,14.6,5.9,8.7,1.24,70.279,"Alexis Sánchez,Marko Arnautović... -",Yann Sommer
5,R16,Atlético Madrid 2023-2024,7.0,4.0,2.0,1.0,17.0,7.0,10.0,14.0,9.9,8.8,1.1,0.15,62.06,"Álvaro Morata,Antoine Griezmann-",Jan Oblak
6,R16,Arsenal 2023-2024,7.0,4.0,1.0,2.0,16.0,5.0,11.0,13.0,11.2,4.8,6.4,0.92,59.624,Gabriel Jesus-,David Raya
7,R16,Barcelona 2023-2024,7.0,4.0,1.0,2.0,13.0,7.0,6.0,13.0,11.2,6.5,4.7,0.67,41.977,"Ferrán Torres,João Félix-",Marc-André ter Stegen
8,R16,Lazio 2023-2024,7.0,4.0,1.0,2.0,8.0,7.0,1.0,13.0,10.2,8.2,1.9,0.28,47.701,Ciro Immobile-,Ivan Provedel
9,R16,Dortmund 2023-2024,7.0,3.0,3.0,1.0,8.0,5.0,3.0,12.0,8.8,12.1,-3.3,-0.47,81.365,Karim Adeyemi-,Gregor Kobel
10,R16,Real Sociedad 2023-2024,7.0,3.0,3.0,1.0,7.0,4.0,3.0,12.0,9.4,5.0,4.4,0.63,35.942,Brais Méndez-,Álex Remiro
11,R16,RB Leipzig 2023-2024,7.0,4.0,0.0,3.0,13.0,11.0,2.0,12.0,11.1,9.9,1.2,0.18,43.949,Loïs Openda-,Janis Blaswich
12,R16,Paris S-G 2023-2024,7.0,3.0,2.0,2.0,11.0,8.0,3.0,11.0,14.6,6.9,7.7,1.1,46.553,Kylian Mbappé-,Gianluigi Donnarumma
13,R16,Napoli 2023-2024,7.0,3.0,2.0,2.0,11.0,10.0,1.0,11.0,9.3,8.9,0.3,0.05,45.367,Victor Osimhen-,Alex Meret
14,R16,PSV Eindhoven 2023-2024,7.0,2.0,4.0,1.0,9.0,11.0,-2.0,10.0,9.5,9.5,0.0,0.0,34.589,Luuk de Jong-,Walter Benítez
15,R16,FC Copenhagen 2023-2024,7.0,2.0,2.0,3.0,9.0,11.0,-2.0,8.0,7.9,12.0,-4.2,-0.6,35.592,Lukas Lerager-,Kamil Grabara
17,GR,Shakhtar 2023-2024,6.0,3.0,0.0,3.0,10.0,12.0,-2.0,9.0,7.4,10.9,-3.5,-0.58,47.695,Danylo Sikan-,Dmytro Riznyk
18,GR,Milan 2023-2024,6.0,2.0,2.0,2.0,5.0,8.0,-3.0,8.0,9.6,7.7,1.9,0.32,72.212,Samuel Chukwueze-,Mike Maignan
